Sport,Franchise ID,City of Team,Team Name,Season Win Loss Record,Season Win Percentage,Season Payroll,Season,Season Start Month & Year,Season End Month & Year,"Playoff Round elminated (0 = missed playoffs, 5 = Won Championship)",,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,47-20-15,0.671,83708318,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,26-49-7,0.359,70642778,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,47-22-13,0.622,89890158,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,40-31-11,0.537,85318725,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,41-32-9,0.579,86940171,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,44-30-8,0.585,83055954,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,40-31-11,0.555,81880640,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,52-24-6,0.707,87392295,2023-2024,2023-10-01,2024-06-01,5,,,,,,,,,,,,,,,,,,,
Hockey,19,Toronto,Maple Leafs,52-26-4,0.659,87392295,2023-2024,2023-10-01,2024-06-01,2,,,,,,,,,,,,,,,,,,,
Hockey,20,New Jersey,Devils,42-33-7,0.555,82110011,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,21,Los Angeles,Kings,44-27-11,0.585,86413334,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,22,New York,Islanders,39-27-16,0.573,85614819,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,23,Colorado,Avalanche,50-25-7,0.652,91104968,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,24,Edmonton,Oilers,49-27-6,0.634,84918043,2023-2024,2023-10-01,2024-06-01,4,,,,,,,,,,,,,,,,,,,
Hockey,25,Carolina,Hurricanes,52-23-7,0.677,85359646,2023-2024,2023-10-01,2024-06-01,3,,,,,,,,,,,,,,,,,,,
Hockey,26,Dallas,Stars,52-21-9,0.689,84372443,2023-2024,2023-10-01,2024-06-01,3,,,,,,,,,,,,,,,,,,,
Hockey,27,Ottawa,Senators,37-41-4,0.476,84430820,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,28,Minnesota,Wild,46-25-11,0.622,83498170,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,29,Vegas,Golden Knights,51-22-9,0.671,101121666,2023-2024,2023-10-01,2024-06-01,2,,,,,,,,,,,,,,,,,,,
Hockey,30,Montreal,Canadiens,31-45-6,0.463,85368391,2023-2024,2023-10-01,2024-06-01,0,,,,,,,,,,,,,,,,,,,
Hockey,31,Tampa Bay,Lightning,46-30-6,0.598,100368737,2023-2024,2023-10-01,2024-06-01,1,,,,,,,,,,,,,,,,,,,
Hockey,32,Winnipeg,Jets,56-22-4,0.707,87421956,2023-2024,2023-10-01,2024-06-01,2,,,,,,,,,,,,,,,,,,,
Hockey,1,San Jose,Sharks,22-44-16,0.366,83514797,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,2,Calgary,Flames,38-27-17,0.567,82590180,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,3,Columbus,Blue Jackets,25-48-9,0.36,81540447,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,4,Arizona,Coyotes,28-40-14,0.427,67553790,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,5,Nashville,Predators,42-32-8,0.561,81370388,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,6,Seattle,Kraken,46-28-8,0.61,81021788,2022-2023,2022-10-07,2023-04-13,2,,,,,,,,,,,,,,,,,,,
